<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
015_T46_C5_D108_VM3.txt	 1	 -1718352444396099521591087274278031652407199278302380875823181316096128161484810223616.000000000000000	 14.017534	 0.000406	 -9097608915636896446418189845921593795779198216415175078254130305269117149674350812594176.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1543	 2	 0.000001671	 0.352940000	 0.000000000  FX
1342	 1	 0.000002239	 0.978660000	 0.000000000  FX
1435	 1	 0.000001723	 0.730870000	 0.000000000  FX
1368	 1	 0.000002715	 1.206980000	 0.000000000  FX
30	 1	 0.000002542	 1.124340000	 0.000000000  FX
1420	 5	 0.000000258	 0.012163919	 0.000057548  VM
736	 5	 0.000000080	 0.003771579	 0.000017844  VM
1631	 1	 0.000001072	 0.418580000	 0.000000000  FX
1621	 5	 0.000000127	 0.005965662	 0.000028224  VM
28	 5	 0.000000164	 0.007728146	 0.000036562  VM
1552	 2	 0.000001558	 0.326000000	 0.000000000  FX
1430	 2	 0.000001787	 0.380770000	 0.000000000  FX
1534	 1	 0.000001222	 0.490400000	 0.000000000  FX
1351	 5	 0.000000080	 0.003783848	 0.000017902  VM
1625	 1	 0.000000877	 0.325070000	 0.000000000  FX
1412	 1	 0.000001270	 0.513600000	 0.000000000  FX
1384	 5	 0.000000072	 0.003393412	 0.000016054  VM
874	 1	 0.000001191	 0.475900000	 0.000000000  FX
1636	 2	 0.000001434	 0.296270000	 0.000000000  FX
1585	 1	 0.000001015	 0.391250000	 0.000000000  FX
7012	 1	 0.000029510	 14.068707913	 0.000000000  FX
7004	 2	 0.000045948	 10.979417913	 0.000000000  FX
7005	 2	 0.000046675	 11.153917913	 0.000000000  FX
7009	 2	 0.000044613	 10.659177913	 0.000000000  FX
7008	 5	 0.000005130	 0.241408948	 0.001142124  VM
7014	 5	 0.000005128	 0.241338626	 0.001141791  VM
7000	 5	 0.000005182	 0.243835664	 0.001153605  VM
7007	 5	 0.000005127	 0.241288404	 0.001141553  VM
7011	 2	 0.000044636	 10.664557913	 0.000000000  FX
7006	 5	 0.000005130	 0.241431767	 0.001142232  VM
7003	 2	 0.000046734	 11.168227913	 0.000000000  FX
7001	 1	 0.000039160	 18.700847913	 0.000000000  FX
7002	 1	 0.000037378	 17.845517913	 0.000000000  FX
7013	 5	 0.000005129	 0.241360921	 0.001141896  VM
7010	 2	 0.000043910	 10.490337913	 0.000000000  FX
7015	 2	 0.000005716	 1.323930000	 0.000000000  FX
========================================================================
015_T46_C5_D108_VM3.txt	 4	 -3058504109642722679806619110577737600198584261903251321770716524957649848872241987584.000000000000000	 13.873347	 0.000515	 -16192879608104267027382612999382953409032785005358780325609759751321963774115223588306944.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
756	 5	 0.000000000	 -4493339886778757636554352202728334590837518684389831935008173259344283878731514562740224.000000000	 -848700097965052873264055135922447585181149451973287606069285496596628315226863828992.000000000  VM
28	 5	 0.000000000	 -3671523863867761261463693146844805223757155944498927313380633558411447691834924256460800.000000000	 -693475842349298023104152130315417634144881026359516674036008455941279719747577970688.000000000  VM
1342	 5	 0.000000000	 -8028015857457747687652801455213731198613735190740392120349978714661492673147234445950976.000000000	 -1516328169328371999117985181544990738208674479727492430762577952744321662726682181632.000000000  VM
1412	 2	 0.000001549	 0.323820000	 0.000000000  FX
1333	 2	 0.000002366	 0.519870000	 0.000603954  FX
874	 1	 0.000001191	 0.475900000	 0.000000000  FX
752	 1	 0.000001510	 0.628600000	 0.000000000  FX
1613	 1	 0.000001089	 0.426620000	 0.000000000  FX
1351	 1	 0.000002731	 1.214940000	 0.000813257  FX
40	 2	 0.000002202	 0.480510000	 0.000000000  FX
1621	 1	 0.000001089	 0.426550000	 0.000000000  FX
824	 5	 0.000000081	 0.003832015	 0.000018130  VM
732	 5	 0.000000075	 0.003519752	 0.000016652  VM
1625	 1	 0.000000877	 0.325070000	 0.000000000  FX
1552	 1	 0.000001282	 0.519280000	 0.000000000  FX
1543	 5	 0.000000168	 0.007910002	 0.000037423  VM
1585	 5	 0.000000132	 0.006228521	 0.000029468  VM
1435	 2	 0.000001927	 0.414370000	 0.000000000  FX
1368	 5	 0.000000074	 0.003463882	 0.000016388  VM
736	 2	 0.000002584	 0.572140000	 0.000000000  FX
1430	 1	 0.000001660	 0.700710000	 0.000000000  FX
1569	 1	 0.000001230	 0.494560000	 0.000000000  FX
1384	 5	 0.000000072	 0.003393412	 0.000016054  VM
1636	 5	 0.000000137	 0.006468432	 0.000030603  VM
1534	 2	 0.000001584	 0.332120000	 0.000000000  FX
1631	 1	 0.000001072	 0.418580000	 0.000000000  FX
30	 5	 0.000000086	 0.004030060	 0.000019067  VM
38	 5	 0.000000081	 0.003808326	 0.000018017  VM
1420	 5	 0.000000258	 0.012163919	 0.000057548  VM
1424	 2	 0.000001266	 0.255840000	 0.000000000  FX
7008	 2	 0.000046126	 11.022247913	 0.000000000  FX
7000	 2	 0.000051237	 12.248737913	 0.000000000  FX
7006	 5	 0.000005130	 0.241431767	 0.001142232  VM
7011	 5	 0.000005127	 0.241260566	 0.001141422  VM
7002	 2	 0.000049932	 11.935657913	 0.000000000  FX
7007	 5	 0.000005127	 0.241288404	 0.001141553  VM
7012	 2	 0.000043865	 10.479517913	 0.000000000  FX
7013	 1	 0.000031216	 14.887547913	 0.000000000  FX
7003	 2	 0.000046734	 11.168227913	 0.000000000  FX
7010	 2	 0.000043910	 10.490337913	 0.000000000  FX
7004	 5	 0.000005128	 0.241338071	 0.001141788  VM
7014	 2	 0.000044843	 10.714227913	 0.000000000  FX
7009	 5	 0.000005130	 0.241408474	 0.001142121  VM
7005	 2	 0.000046675	 11.153917913	 0.000000000  FX
7001	 2	 0.000051722	 12.365247913	 0.000000000  FX
7015	 1	 0.000005173	 2.387200000	 0.000000000  FX
========================================================================
015_T46_C5_D108_VM3.txt	 5	 -4644388421279910386099014139059875967811716805853749328759651546657762065849855770624.000000000000000	 13.983700	 0.000489	 -24589152037413534753810560387553127689292691071469062898918289809920374022409456594190336.000000
<task_id>	 <FX/VM id>	 <Custo_fin>	 <Tempo_workflow>	 <Custo_normalizado>
1342	 2	 0.000002412	 0.530950000	 0.000615915  FX
824	 5	 0.000000000	 -4686325788077534223857947369739562037618412036551335508116326565950635302872189713252352.000000000	 -885151191687135680293297358307106575486939707906037405143823682985188088499566280704.000000000  VM
30	 5	 0.000000000	 -4144959723692649009043880916773392528207484813221043258695216438158522186270877566369792.000000000	 -782898203162871449540461186317017672670422802197174605425618029758714275923767590912.000000000  VM
1569	 1	 0.000001230	 0.494560000	 0.000356397  FX
756	 1	 0.000001379	 0.566080000	 0.000000000  FX
732	 1	 0.000001445	 0.597630000	 0.000421763  FX
1621	 1	 0.000001089	 0.426550000	 0.000000000  FX
736	 5	 0.000000080	 0.003771579	 0.000017844  VM
1420	 5	 0.000000258	 0.012163919	 0.000057548  VM
1435	 2	 0.000001927	 0.414370000	 0.000000000  FX
752	 5	 0.000000074	 0.003491673	 0.000016519  VM
1543	 1	 0.000001270	 0.513680000	 0.000000000  FX
1351	 5	 0.000000080	 0.003783848	 0.000017902  VM
40	 1	 0.000001748	 0.742990000	 0.000000000  FX
1625	 5	 0.000000098	 0.004617302	 0.000021845  VM
1368	 5	 0.000000074	 0.003463882	 0.000016388  VM
1430	 1	 0.000001660	 0.700710000	 0.000000000  FX
